方向,竞品名称,地区,类型,核心功能,技术优势,功能优势,主要方向定位,核实状态
D2 水下图像增强与水下目标检测识别,人保财险「粤海保」,湛江·雷州流沙湾,保险联动平台,高清视频 AI 识别鱼群轨迹与摄食状态；声呐测鱼群数量,视频 AI+声呐；声呐精度 92%,规模大、保险背书,海洋牧场管理/保险,【已核实】
D2 水下图像增强与水下目标检测识别,广东海洋大学「海创智渔」,湛江·广东海洋大学,高校科研团队,水下机器人、SLAM 自主导航、AI 视觉,30+ 专利、70+ 软著、RTX3090,同校同专业，自带水下平台,水下感知科研,【已核实】
D2 水下图像增强与水下目标检测识别,深之蓝 D-CVS 水下计算机视觉方案,天津,商用工业级方案,图像增强（校色/去雾/去模糊）；检测/跟踪/分割；物种识别与数量估计,传统算法+深度学习双轨；300+ 专利；兼容低功耗平台,国内水下机器人龙头；内置「增强+检测」全栈,海洋工程/水利/养殖巡检,【子代理】
D2 水下图像增强与水下目标检测识别,博雅工道 R-30 观测级 ROV,北京,商用工业级 ROV,图像增强；目标识别；便携观测与救援,北大技术背景；仿生低噪推进；百余项专利,科研/高校市场认可度高；模块化可换传感器,观测、巡检、科研,【子代理】
D2 水下图像增强与水下目标检测识别,国外对照：Aquabyte/ReelData/UMITRON/eFishery/Eruvaka,挪威美/加/新日/印尼/印度,商用 AI 水产系统,鱼体重/海虱/福利/行为/食欲预测；残饵识别；DO/pH 语音报警,自清洁镜头+声呐穿透浊水+立体视觉+边缘计算,高价值品种闭环成熟、精度高,三文鱼/RAS/对虾规模企业,【子代理】
E10 养殖 AI 系统可信性工程（MLOps/漂移监测/幻觉审计）,西北农林科技大学「稷安智算」安全可信农业大模型,陕西·杨凌,科研/平台产品,「智能服务+安全支撑」双层架构；8 个智能体含安全防护与审计溯源；安全监控后台实时拦截风险,110 万+文献、13 万+标准、90 万+问答；攻击诱导防御得分 96.6/100；水产领域准确率较基线提升 41.57%,国内首个安全可信农业大模型；覆盖农林牧渔全产业链；定位为其他垂直模型的「安全底座」,农业大模型底层安全与可信应用（非养殖预警专用）,【已核实】
E10 养殖 AI 系统可信性工程（MLOps/漂移监测/幻觉审计）,青岛励图高科「北冥智渔」,青岛,商用·已备案,摄食投喂量；体表病理识别；鱼病知识问答,320 亿参数多模态基座,已备案（合规资质）,面向养殖企业与散户,【已核实】
E10 养殖 AI 系统可信性工程（MLOps/漂移监测/幻觉审计）,湛江湾实验室「湛江湾1号」,湛江·硇洲岛外海,科研平台,多模态水下感知+鱼群识别+投喂规划,IndustryGPT 垂直大模型；声光融合,深远海工程落地,大型网箱养殖,【已核实】
E10 养殖 AI 系统可信性工程（MLOps/漂移监测/幻觉审计）,通用 MLOps/可信性工具：星环 Sophon、腾讯云 TI-ONE,上海/深圳,商用平台,模型监控、漂移分析、评估、RAG 编排,MLOps/LLMOps 全栈，支持知识库与 RAG 组件,通用层、非场景绑定；企业级成熟,各行业 AI 工程化底座,【子代理】
E10 养殖 AI 系统可信性工程（MLOps/漂移监测/幻觉审计）,开源评测工具：Ragas / DeepEval / TruLens / Arize Phoenix / Evidently,国外,开源工具,RAG 忠实度评测；幻觉检测指标；漂移检测；可观测性,指标成熟、社区活跃、2026 已有基准评测,免费、可自托管、可复现,AI 系统质量与可信性评测,【子代理】
E10 养殖 AI 系统可信性工程（MLOps/漂移监测/幻觉审计）,人保财险「粤海保」/ 智擎虾塘 / 海创智渔,湛江,政府项目/学生项目/高校团队,监测预警与投喂决策（均直接向用户给出建议）,各见前述,各见前述,均未见公开披露输出可信性机制,【已核实】
D6 多模态大模型与海洋渔业知识智能,青岛励图高科「北冥智渔」,青岛,商用·已备案,多模态融合（视频/水质/摄食/生长）；五维决策；鱼病知识问答智能体,320 亿参数基座；渔业全领域知识图谱,全国首个备案渔业大模型,养殖户与园区的知识问答与决策,【已核实】
D6 多模态大模型与海洋渔业知识智能,湛江湾实验室「湛江湾1号」,湛江·硇洲岛外海,科研平台,多模态水下感知；YOLOv8+IndustryGPT 识别鱼种/体长/摄食/病害,百万级标注数据集；数据飞轮,深远海无人化,鱼群监测与投喂决策,【已核实】
D6 多模态大模型与海洋渔业知识智能,西北农林科技大学「稷安智算」,陕西·杨凌,科研/平台产品,农林牧渔多模态问答与图文诊断；8 个智能体含审计溯源,110 万+文献+13 万标准+90 万问答；水产准确率+41.57%,国内首个安全可信农业大模型,农业大模型安全底座,【已核实】
D6 多模态大模型与海洋渔业知识智能,广东海洋大学「海创智渔」,湛江·广东海洋大学,高校科研团队,云渔慧养平台；AI 分组,30+ 专利、70+ 软著、RTX3090,同校同专业,智慧渔业平台,【已核实】
D6 多模态大模型与海洋渔业知识智能,FMRAG（学术）,国内,学术/方法研究,检索增强多模态大模型用于渔业智能,RAG+多模态，2026 年 Frontiers in Marine Science,对应本方向但非落地产品,方法/基准研究,【子代理】
D6 多模态大模型与海洋渔业知识智能,WaterGPT / MS-LIP / FishDetectLLM / CLIP-AFIR,国内/国外,学术研究,水文领域 LLM；海洋预测；鱼类检测指令微调；鱼类细粒度 ReID,各见文献,方法层，非可部署产品,学术探索,【子代理】
E3 养殖数据质量治理：缺失插补与异常检测,KISTERS WISKI / HydroCorrect,德国/加拿大,商用专业工具,时间序列导入归档、自动校验清洗、告警,KiWQM 自动质控+审计日志；ML 建议式校正，人工审核降至 20—30 分钟/周,自动化 QC 与全审计追溯,水务局/环保机构（环境水质，非养殖专用）,【子代理】
E3 养殖数据质量治理：缺失插补与异常检测,SaQC（开源）/ pyhydroqc（开源）,德国/美国,开源工具,可配置时间序列 QC 流程；缺失/异常/漂移/频率对齐,Python API+低代码配置；ARIMA+LSTM 动态阈值,可复现、可审计、免费,科研/环境传感器网,【子代理】
E3 养殖数据质量治理：缺失插补与异常检测,Manolin / 渔鱼大数据 / 广为海洋,挪威/深圳/烟台,商用养殖平台,多系统数据连接与 AI 预警；SaaS 水质投喂病害,数据重构与清洗；LSTM 多参数融合准确率>90%,把数据清洗作为「子模块」而非独立卖点,养殖企业/政府海洋牧场,【子代理】
E3 养殖数据质量治理：缺失插补与异常检测,人保财险「粤海保」/ 湛江湾1号 / 智擎虾塘 / 北冥智渔,湛江/青岛,政府项目/学生项目/商用,监测、预警、投喂决策,各见前述,各见前述,其公开材料中均未见数据质量治理专项披露,【已核实】
E3 养殖数据质量治理：缺失插补与异常检测,通用数据质量工具：Great Expectations / Deequ / Apache Griffin,国外,开源工具,表格与管道数据质量校验,规则化校验框架,通用层，无养殖语义,数据工程,【子代理】
D3 养殖水质与环境时序预测预警,人保财险「粤海保」,湛江·雷州流沙湾,政府采购+保险,13 km²、165 网箱水质+视频 AI 监测；短信/平台预警；理赔联动,声呐测鱼群精度 92%,重资产、服务大企业网箱、保险闭环,海洋牧场管理端与保险方,【已核实】
D3 养殖水质与环境时序预测预警,湛江湾实验室「湛江湾1号」,湛江·硇洲岛外海,科研/政府,鱼群总量/体长/摄食 AI；感知—预测—管控,声光融合多模态,实验室背书,深远海网箱,【已核实】
D3 养殖水质与环境时序预测预警,广东渔易「渔军师」,广州,商用产品,小棚虾智能管理；溶氧预测提前 2h；AI 虾罾；增氧联动,AI 控制器+物联网 OS；「水产渔机鸿蒙」,覆盖 10 万+养殖户/800 经销商；与保险公司共建生态,小棚虾/鱼塘散户（广东强）,【子代理】
D3 养殖水质与环境时序预测预警,优鱼（U鱼）,广州,商用平台,溶氧/水温/pH 监测+阈值报警+远程增氧,物联网+APP,恒兴金鲳鱼等落地,养殖企业/网箱,【子代理】
D3 养殖水质与环境时序预测预警,虾助手（浙大团队）,浙江嘉兴,商用小程序,罗氏沼虾 AI 托管；溶氧/病害/天气预警,灵睿智能一体化系统,低门槛，「一部手机管虾塘」,沼虾产业园（湛江未覆盖）,【子代理】
D3 养殖水质与环境时序预测预警,珠海实时在线赤潮遥报预警系统 / 坤舆「时空寻赤潮预警大模型」,珠海,政府系统/商用,pH/盐度/溶氧/叶绿素连续监测超阈短信；赤潮预警热力图,卫星+浮标+ML,政府常态化运行；触达数百户经营主体,赤潮预警（监管端）,【子代理】
D3 养殖水质与环境时序预测预警,自然资源部南海生态中心 广东海洋牧场监测浮标,湛江,政府科研,9 套浮标实时传输，接入省智慧服务平台预警推送,多参数浮标组网,官方平台背书,海洋牧场监管,【子代理】
D3 养殖水质与环境时序预测预警,广东海洋大学「海创智渔」/ 湛江科技学院「智擎虾塘」,湛江,高校团队/学生项目,水质监测与预警；投喂决策,LMBP+LSTM；投饵机改造,本校/同城学生团队已占位,养殖端,【已核实】
E8 无人机与遥感在养殖中的工程应用,广东省现代海洋牧场创新实验区·全省海水养殖功能布局遥感调查,广州（南海发展研究院）,政府采购服务（2025-06 中标）,卫星+无人机调查广东 14 地市养殖类型，采集边界/面积/走向/水深,卫星遥感+无人机+海图插值，面积精确至 0.0001 公顷,省级全域覆盖；合同额 359.5 万元,政府监管/规划端,【子代理】
E8 无人机与遥感在养殖中的工程应用,福建省海洋与渔业局「水产养殖遥感监测数据服务项目」,福州（中绘云图）,政府采购服务（2026-03）,GF1/2/6/7、ZY 系列正射影像 AI 提取全省养殖图斑；制禁养区专题图,多星正射影像+AI 提取+矢量建库,常态化月度监测、标准化；成交 29.1 万元,政府监管端,【子代理】
E8 无人机与遥感在养殖中的工程应用,山东省「卫星遥感测水产养殖面积方法实证项目」 / 霞浦县三都澳网箱养殖遥感监测,济南/宁德,政府采购服务,遥感测算养殖面积方法实证；网箱养殖卫星遥感监测,方法验证导向,中选 16.27 万元 / 成交 23 万元,政府监管端,【子代理】
E8 无人机与遥感在养殖中的工程应用,乳山市「养殖用海遥感监测与智慧监管平台软件功能升级」,威海乳山（中国海洋大学）,国企采购/高校承接（2026-09）,既有遥感监测+智慧监管平台软件功能升级,高校承接、平台化运营,77.3 万元,政府/国企监管端平台,【子代理】
E8 无人机与遥感在养殖中的工程应用,广东海洋大学「海创智渔」/ 湛江湾1号 / 粤海保 / 智擎虾塘,湛江,高校团队/科研/政府/学生,均为物联网/声呐/视觉类,各见前述,其公开材料中未见遥感影像处理披露,养殖端（与遥感互补）,【已核实】
E2 养殖数字孪生与决策支持平台,国家数字渔业创新中心「智慧渔业云平台」,青岛（睿创领科）,商用/政府牵头平台,「一图一库一链一平台」；数字孪生立体展示；水质监测；AI 语言大模型,B/S 多租户+数字孪生+AI 大模型,全国 20+ 省份落地；服务各级农业农村部门与龙头企业,企业管理/政府端（大型基地）,【子代理】
E2 养殖数字孪生与决策支持平台,国家农产品质量安全追溯管理信息平台,全国（农业农村部）,政府平台,网格巡检派发；快检数据自动上传；电子合格证「一证贯通」全链溯源,移动端网格化+图像识别+云端不可篡改留存,合规强制、带证入市、政府背书,政府监管/合规端,【子代理】
E2 养殖数字孪生与决策支持平台,嘉兴麟湖「虾助手」小程序,浙江嘉兴,学生/创业项目,手机看水温/溶氧/pH；异常弹窗；远程一键增氧；便携病害快检,水下传感器+数字驾驶舱,低门槛、一部手机管虾塘；三款小程序打通生产—产业—消费,养殖户端轻量决策,【子代理】
E2 养殖数字孪生与决策支持平台,广东海洋大学「海创智渔·云渔慧养」,湛江·广东海洋大学,高校科研团队,水产智能设备+数字化软件；云渔慧养平台,30+ 专利、70+ 软著、RTX3090；诚一集团共建实验室,同校同学院、产学研结合,企业管理/科研端,【已核实】
D4 水产动物病害智能诊断与健康评估,渔病通（杭州黑潮生物）,杭州,商用（小程序+AI 显微镜）,拍照输出病害种类与防治方案；AI 显微镜识别寄生虫藻类并计数,百万级标注样本；**30+ 高发病害准确率>90%，否则给多维参考而非唯一结论**,免费个人版；覆盖 **110+ 种淡水鱼**病害,全国养殖户与基层渔医问诊；**未覆盖南美白对虾**,【子代理】
D4 水产动物病害智能诊断与健康评估,叮咚渔医（青岛励图高科）,青岛,商用 SaaS+大模型,鱼虾视频/图片上传，AI+专家远程诊断；含**虾病害识别**子模块；诊前预警—病中应对—诊后跟踪,DeepSeek 大模型+鱼病知识图谱；MacBERT+GraphSAGE；100+ 病害库；准确率 90%、提前 5 天预警 92%,落地 20+ 省份、服务超 10 万养殖户；**专家网络含广东海洋大学**,散户与大企业的疫病防控平台,【子代理】
D4 水产动物病害智能诊断与健康评估,青岛励图高科「北冥智渔」,青岛,商用·已备案,体表病理视觉识别（提前 3—5 天预警）；鱼病知识问答智能体,320 亿参数多模态基座,已备案；软硬一体闭环,养殖企业与管理端,【已核实】
D4 水产动物病害智能诊断与健康评估,智汇农业科技「秋毫」系列水产 AI 显微镜,广州·南沙,商用硬件+免费小程序,显微镜拍摄寄生虫/藻类图上传识别并给方案；自拍病害图也可识别,AI+大数据+云计算；联合南海水产研究所,面向中小养殖场/基层药店免费；共建病害检测生态,水产镜检智能化普惠检测,【子代理】
D4 水产动物病害智能诊断与健康评估,SHRIMPAI,菲律宾,科研原型/移动应用,手机端 CNN 早期检测南美白对虾白斑综合征病毒（WSSV）,CNN+5 折交叉验证；宣称 WSSV 检测 100% 准确率,**直接针对南美白对虾 WSSV**（湛江头号病害）,对虾养殖户早诊（不覆盖湛江）,【子代理】
D4 水产动物病害智能诊断与健康评估,Fish Doctor（印尼 PWA）,印尼,科研/学术原型,YOLOv11 鱼种检测；规则式病害诊断；专家在线咨询；离线优先,Next.js+CV；5 种鱼平均诊断准确率>80%、响应<2 秒,低连接环境可用,发展中国家养殖户（覆盖鱼类非对虾）,【子代理】
D4 水产动物病害智能诊断与健康评估,FarmMOJO（Aquaconnect）,印度·金奈,商用 AI 咨询 App,记录水质/投喂/健康/生物量；AI 预测病害、优化投喂；连接上下游,机器学习+卫星遥感+IoT；降料耗 20—30%,覆盖虾+鱼；4200+ 农户,印度虾农/鱼农（非图像诊断）,【子代理】
D4 水产动物病害智能诊断与健康评估,智擎虾塘 / 粤海保 / 湛江湾1号 / 海创智渔,湛江,学生项目/政府项目/科研/高校,投喂决策与鱼群监测；均非对虾病害视觉诊断,各见前述,各见前述,均非「对虾病害视觉诊断」,【已核实】
E6 模型轻量化与边缘部署工程,RK3588 级国产开发板（Radxa/Toybrick/全爱等）,中国（瑞芯微生态）,开源硬件/商用开发板,6 TOPS INT8 NPU 端侧推理；多系统；多路相机接入,4×A76+4×A55；单芯片约 ¥300，开发板约 ¥216—3399,生态最广、价格最低,边缘 AI/机器人/AIoT,【子代理】
E6 模型轻量化与边缘部署工程,地平线 RDK X3/X5,中国,机器人 AI 开发套件,BPU 边缘推理；原生 YOLO/Transformer 算法矩阵一键部署,X3 约 5 TOPS、X5 约 10 TOPS；约 $50—139,性价比高、开箱即用,机器人/边缘视觉,【子代理】
E6 模型轻量化与边缘部署工程,华为昇腾 Atlas 200I DK A2,中国,工业级 AI 开发者套件,CANN 工具链+100+ Demo；视频图像分析与机器人,8 TOPS 版 ¥1999；20 TOPS 版 ¥2750—4800；功耗 8—15W,文档最完善、工业级稳定,企业/工业/教学实训,【子代理】
E6 模型轻量化与边缘部署工程,NVIDIA Jetson Orin Nano Super,美国,边缘 AI 开发套件,67 INT8 TOPS；可跑 LLM/VLM/视觉 Transformer,6 核 ARM、8GB、7—25W；官方 $249（国内约 ¥2070）,生成式 AI 与视觉兼强,生成式 AI/机器人/CV 边缘,【子代理】
E6 模型轻量化与边缘部署工程,图索科技「鱼类 AI 边缘盒子」,中国,行业级边缘 AI 盒子,内嵌 Jetson Orin NX（157 TOPS）；鱼群识别/计数/去重/体长估算,轻量化算法移植+边缘实时识别,成品即布即用、配 Web 平台,鱼类监测（非病害）,【子代理】
E6 模型轻量化与边缘部署工程,快瞳科技 MF-Net 鱼类边缘识别算法 / 星瞳科技 OpenMV,中国,算法授权/端侧模组,水下图像增强（浑浊暗光）；鱼类识别；端侧鱼体白斑/水霉/烂尾检测,轻量化不依赖云端；MCU 上跑深度学习、电池可运行数年,赋能硬件厂商做「硬件+AI」,鱼类算法（未见虾病模块）,【子代理】
E6 模型轻量化与边缘部署工程,Ace Aquatec A-Biomass / AQUAVISION,英国/全球,商用产品,水下相机+健康模块识别伤口等外部病害；鱼计数/生物量/行为/健康,5 物种专属模块；实测 98—99% 精度,边缘计算单元,鱼类/国外（未见对虾病害）,【子代理】
E6 模型轻量化与边缘部署工程,广东技术师范大学（学术原型的同省占位）,广州,学术原型,结构化剪枝+RK3588S 部署鱼病检测,已发表于 MDPI Fishes 2026,同省同方向已占位,学术,【子代理】
E4 水下机器人与网箱巡检装备,青岛森科特 网衣清洗机器人（已第五代）,青岛·即墨,商用产品,空化水射流清洗网衣；双目视觉规划路径；水下摄影实时控制,5 推进器、180° 贴壁；每小时清洗 500—800 ㎡、效率为人工 5—10 倍,国内深远海网箱清洗份额>95%，为国内唯一产业化厂商,大型海水养殖/深远海网箱,【子代理】
E4 水下机器人与网箱巡检装备,青岛宇智波 YZB-011 网衣清洗机器人系统,青岛·即墨,商用产品（政府采购成交）,网衣清洗机器人+高压泵站+地面站成套,成套自研，型号 YZB-011/013/017,**成交价 91.2 万元/套**,高校/科研机构教学与作业,【子代理】
E4 水下机器人与网箱巡检装备,养殖巡检 ROV（蓝鲸智能/深之蓝/博雅工道等）,深圳/天津等,商用产品,水下视频巡检、水质/姿态传感、异常回传,基础型 3—8 万元（5—20 m 深、续航 4h+）；高端智能型 15—30 万元,模块化、售后网络、支持二次开发 SDK,中小养殖户/教学/科研,【子代理】
E4 水下机器人与网箱巡检装备,查湃 便携式水下机器人（海峡1号/海岛1号）,上海,商用产品,1080P 实时视频；6 轴矢量推进；自动定深；可扩展声呐/机械手,ARM V8、ISO9001；**参考价约 2.4 万元**,低成本便携，适用养鱼场巡检,管道/坝体/养鱼场检查,【子代理】
E4 水下机器人与网箱巡检装备,AKVA GROUP 网箱清洁机器人 FNC8,挪威,商用产品,ROV 式网箱清洗；IP 摄像头全程监控；推进器推进不伤网,最大工作深度 75 m、清洁宽度 260 cm、250 巴压力,全球三文鱼/海水网箱龙头,全球网箱养殖（约 ¥50 万级）,【子代理】
E4 水下机器人与网箱巡检装备,浙大湖州研究院+嵊蓝海洋 深远海网箱巡检机器人,浙江·湖州,科研/工程落地,多波束声呐扫描+高频超声/光学相机检测网箱结构裂缝,4 小时完成全网箱扫描,已应用于浙江深远海养殖网箱,网箱结构安全巡检,【子代理】
E4 水下机器人与网箱巡检装备,广东海洋大学「海创智渔」/ 人保「粤海保」,湛江,高校团队/政府项目,水下机器人、机械臂、SLAM；监测+声呐,30+ 专利、70+ 软著；声呐精度 92%,同校资源可借力,智慧渔业研发/监测,【已核实】
E4 水下机器人与网箱巡检装备,国外对照：Innovasea / Ace Aquatec,挪威/英国,商用产品,网箱巡检、鱼类福利监测,三文鱼产业链成熟,高技术门槛,全球海水养殖,【子代理】
E7 水产品溯源与供应链可信数据,广东恒兴集团 × 京东 水产食品溯源平台,湛江·东海岛、徐闻,企业区块链溯源平台（2023-11 上线）,物联网+GIS+区块链+AI 生长算法；养殖/加工/物流全链路存证；扫码呈现选育—养殖—运输—加工,区块链存证不可篡改；生物资产数字孪生,**湛江本地金鲳鱼、对虾已落地**；京东渠道已入驻,龙头企业+零售消费者，全链路品牌背书,【已核实】
E7 水产品溯源与供应链可信数据,湛江湾实验室「海洋渔业可信数据空间」,湛江,科研/政府-企业联合（2025-09 报道）,金鲳鱼孵化到上市区块链「数字身份证」；苗种/水质/投喂/检测全程可溯,联合华为等打造，区块链+AI,**本地最完整的可信数据空间**；已衍生渔获贷、气象指数保险、金鲳鱼指数,产业端+金融/保险方，数据要素化,【已核实】
E7 水产品溯源与供应链可信数据,国家农产品质量安全追溯管理信息平台,全国（农业农村部）,政府平台,追溯/监管/监测/执法四大系统；生成追溯标签与合格证,部省两级，累计注册主体超 220 万家；4 项行业标准,公益性强、政府背书、强制纳入「三品一标」,政府监管+生产经营主体,【已核实】
E7 水产品溯源与供应链可信数据,云坤科技 数字渔业一体化管理服务平台,南京,企业 SaaS,区块链全链路溯源；养殖管理数字化；多方协同,区块链防篡改+图像影像与结构化数据结合,适配信创国产化,地方政府品牌+养殖主体,【子代理】
E7 水产品溯源与供应链可信数据,湛江科技学院「智擎虾塘」,湛江·遂溪/坡头,学生项目,投喂决策与水质监测（非溯源）,投喂误差<5%,7 户试点,中小养殖户投喂决策,【已核实】
E9 水下声学感知与通信工程,湖北珈泊知声 JPOO 自容式水听器,武汉,商用产品,10 Hz—200 kHz 水声信号采集；海洋噪声/生物声学研究长期无人值守,灵敏度 -168 dB re 1V/μPa；水深 500/2000 m；连续 20—120 天,**JP-CH03S ¥4 万 / CH06S ¥5 万 / CH06S+ ¥6 万**,科研/渔业养殖辅助监测,【子代理】
E9 水下声学感知与通信工程,中海达 iFlow RP600 声学多普勒流速剖面仪,南京,商用产品,600 kHz 流速剖面（可达 90 m）,测流精度 0.25%±0.2 cm/s；功耗 3.5W,国内首款量产 ADCP，破国外垄断；**单套约 15.5 万元**,水文/海洋流速监测,【子代理】
E9 水下声学感知与通信工程,和成系统 UWM / S2CR 水声通信调制解调器,国内,商用产品,水下无线数字通信、传感器网络、USBL 定位通信,UWM2000 工作距离 1.2—1.5 km、误码率 10⁻⁹；S2CR 1—8 km,带宽扩频、透明 RS232；价格面议,海洋监测/ROV 指令传输/传感网,【子代理】
E9 水下声学感知与通信工程,SONIC 索尼克 鱼群探测器/扫描声呐,日本（国内代理）,商用产品,单/双波束回声探鱼、鱼体长测算、全周扫描声呐,KCE-310 15/200 kHz 探测 10—5000 m,**KCE-310 约 ¥13 万、SCS-60 约 ¥21.5 万**,近海捕捞/渔业资源调查船,【子代理】
E9 水下声学感知与通信工程,青岛森科特 SCT-ACMS 水下生物监控系统,青岛,商用产品（系统）,双目摄像+多波束声呐；鱼群数量/种类/尺寸/重量分布统计,鱼体尺寸测量精度 95%+，输出至数字化养殖管理系统,与清洗/巡检机器人同生态,深远海网箱生物量监测,【子代理】
